Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Fraction,,Run Log,,
ml,mAU,ml,Fraction,ml,Logbook,
1.2,0.63,,,,,
1.202,0.63,,,,,
1.204,0.63,,,,,
1.206,0.6340022,,,,,
1.208,0.64,,,,,
1.209,0.64,,,,,
1.211,0.64,,,,,
1.213,0.64,,,,,
1.215,0.64,,,,,
1.217,0.64,,,,,
1.218,0.6403928,,,,,
1.22,0.65,,,,,
1.222,0.65,,,,,
1.224,0.65,,,,,
1.226,0.6542005,,,,,
1.228,0.66,,,,,
1.229,0.66,,,,,
1.231,0.66,,,,,
1.233,0.66,,,,,
1.235,0.66,,,,,
1.237,0.66,,,,,
1.239,0.66,,,,,
1.24,0.66,,,,,
1.242,0.66,,,,,
1.244,0.66,,,,,
1.246,0.66,,,,,
1.248,0.66,,,,,
1.25,0.66,,,,,
1.251,0.66,,,,,
1.253,0.66,,,,,
1.255,0.66,,,,,
1.257,0.66,,,,,
1.259,0.66,,,,,
1.261,0.66,,,,,
1.262,0.66,,,,,
1.264,0.66,,,,,
1.266,0.66,,,,,
1.268,0.66,,,,,
1.27,0.66,,,,,
1.271,0.6683413,,,,,
1.273,0.67,,,,,
1.275,0.67,,,,,
1.277,0.67,,,,,
1.279,0.67,,,,,
1.281,0.67,,,,,
1.282,0.67,,,,,
1.284,0.6651852,,,,,
1.286,0.66,,,,,
1.288,0.66,,,,,
1.29,0.66,,,,,
1.292,0.66,,,,,
1.293,0.66,,,,,
1.295,0.66,,,,,
1.297,0.66,,,,,
1.299,0.66,,,,,
1.301,0.6634803,,,,,
1.303,0.67,,,,,
1.304,0.67,,,,,
1.306,0.67,,,,,
1.308,0.67,,,,,
1.31,0.6781706,,,,,
1.312,0.68,,,,,
1.313,0.6797531,,,,,
1.315,0.67,,,,,
1.317,0.67,,,,,
1.319,0.67,,,,,
1.321,0.67,,,,,
1.323,0.67,,,,,
1.324,0.67,,,,,
1.326,0.67,,,,,
1.328,0.6620404,,,,,
1.33,0.66,,,,,
1.332,0.66,,,,,
1.334,0.6592144,,,,,
1.335,0.65,,,,,
1.337,0.65,,,,,
1.339,0.65,,,,,
1.341,0.65,,,,,
1.343,0.65,,,,,
1.345,0.65,,,,,
1.346,0.65,,,,,
1.348,0.65,,,,,
1.35,0.65,,,,,
1.352,0.65,,,,,
1.354,0.65,,,,,
1.355,0.65,,,,,
1.357,0.65,,,,,
1.359,0.65,,,,,
1.361,0.65,,,,,
1.363,0.65,,,,,
1.365,0.65,,,,,
1.366,0.65,,,,,
1.368,0.65,,,,,
1.37,0.65,,,,,
1.372,0.65,,,,,
1.374,0.65,,,,,
1.376,0.65,,,,,
1.377,0.65,,,,,
1.379,0.65,,,,,
1.381,0.65,,,,,
1.383,0.65,,,,,
1.385,0.65,,,,,
1.387,0.65,,,,,
1.388,0.65,,,,,
1.39,0.65,,,,,
1.392,0.6511323,,,,,
1.394,0.66,,,,,
1.396,0.66,,,,,
1.397,0.655876,,,,,
1.399,0.6447924,,,,,
1.401,0.64,,,,,
1.403,0.64,,,,,
1.405,0.64,,,,,
1.407,0.64,,,,,
1.408,0.64,,,,,
1.41,0.64,,,,,
1.412,0.64,,,,,
1.414,0.64,,,,,
1.416,0.64,,,,,
1.418,0.64,,,,,
1.419,0.64,,,,,
1.421,0.64,,,,,
1.423,0.64,,,,,
1.425,0.6485746,,,,,
1.427,0.65,,,,,
1.429,0.65,,,,,
1.43,0.65,,,,,
1.432,0.65,,,,,
1.434,0.65,,,,,
1.436,0.65,,,,,
1.438,0.6552682,,,,,
1.439,0.6537149,,,,,
1.441,0.65,,,,,
1.443,0.65,,,,,
1.445,0.65,,,,,
1.447,0.65,,,,,
1.449,0.65,,,,,
1.45,0.65,,,,,
1.452,0.65,,,,,
1.454,0.65,,,,,
1.456,0.65,,,,,
1.458,0.65,,,,,
1.46,0.65,,,,,
1.461,0.65,,,,,
1.463,0.65,,,,,
1.465,0.65,,,,,
1.467,0.65,,,,,
1.469,0.65,,,,,
1.471,0.65,,,,,
1.472,0.65,,,,,
1.474,0.65,,,,,
1.476,0.65,,,,,
1.478,0.65,,,,,
1.48,0.65,,,,,
1.481,0.65,,,,,
1.483,0.65,,,,,
1.485,0.65,,,,,
1.487,0.65,,,,,
1.489,0.65,,,,,
1.491,0.65,,,,,
1.492,0.65,,,,,
1.494,0.65,,,,,
1.496,0.65,,,,,
1.498,0.65,,,,,
1.5,0.65,,,,,
1.502,0.65,,,,,
1.503,0.6599643,,,,,
1.505,0.66,,,,,
1.507,0.6615495,,,,,
1.509,0.67,,,,,
1.511,0.67,,,,,
1.513,0.67,,,,,
1.514,0.67,,,,,
1.516,0.67,,,,,
1.518,0.67,,,,,
1.52,0.67,,,,,
1.522,0.67,,,,,
1.524,0.67,,,,,
1.525,0.67,,,,,
1.527,0.67,,,,,
1.529,0.67,,,,,
1.531,0.67,,,,,
1.533,0.6648987,,,,,
1.534,0.66,,,,,
1.536,0.66,,,,,
1.538,0.66,,,,,
1.54,0.66,,,,,
1.542,0.66,,,,,
1.544,0.66,,,,,
1.545,0.66,,,,,
1.547,0.66,,,,,
1.549,0.66,,,,,
1.551,0.66,,,,,
1.553,0.66,,,,,
1.555,0.66,,,,,
1.556,0.66,,,,,
1.558,0.66,,,,,
1.56,0.66,,,,,
1.562,0.66,,,,,
1.564,0.66,,,,,
1.566,0.66,,,,,
1.567,0.66,,,,,
1.569,0.66,,,,,
1.571,0.66,,,,,
1.573,0.66,,,,,
1.575,0.66,,,,,
1.576,0.66,,,,,
1.578,0.6513019,,,,,
1.58,0.66,,,,,
1.582,0.66,,,,,
1.584,0.66,,,,,
1.586,0.6571413,,,,,
1.587,0.65,,,,,
1.589,0.65,,,,,
1.591,0.65,,,,,
1.593,0.6435803,,,,,
1.595,0.64,,,,,
1.597,0.64,,,,,
1.598,0.64,,,,,
1.6,0.64,,,,,
1.602,0.6386868,,,,,
1.604,0.63,,,,,
1.606,0.63,,,,,
1.608,0.63,,,,,
1.609,0.63,,,,,
1.611,0.63,,,,,
1.613,0.63,,,,,
1.615,0.63,,,,,
1.617,0.6209652,,,,,
1.618,0.62,,,,,
1.62,0.62,,,,,
1.622,0.62,,,,,
1.624,0.62,,,,,
1.626,0.62,,,,,
1.628,0.62,,,,,
1.629,0.62,,,,,
1.631,0.6132436,,,,,
1.633,0.61,,,,,
1.635,0.61,,,,,
1.637,0.61,,,,,
1.639,0.62,,,,,
1.64,0.62,,,,,
1.642,0.6223879,,,,,
1.644,0.63,,,,,
1.646,0.63,,,,,
1.648,0.6247924,,,,,
1.65,0.62,,,,,
1.651,0.62,,,,,
1.653,0.62,,,,,
1.655,0.62,,,,,
1.657,0.62,,,,,
1.659,0.62,,,,,
1.66,0.62,,,,,
1.662,0.62,,,,,
1.664,0.62,,,,,
1.666,0.62,,,,,
1.668,0.62,,,,,
1.67,0.62,,,,,
1.671,0.62,,,,,
1.673,0.62,,,,,
1.675,0.62,,,,,
1.677,0.62,,,,,
1.679,0.62,,,,,
1.681,0.62,,,,,
1.682,0.62,,,,,
1.684,0.62,,,,,
1.686,0.62,,,,,
1.688,0.613722,,,,,
1.69,0.6029854,,,,,
1.692,0.6,,,,,
1.693,0.6,,,,,
1.695,0.6,,,,,
1.697,0.6,,,,,
1.699,0.598083,,,,,
1.701,0.59,,,,,
1.702,0.59,,,,,
1.704,0.59,,,,,
1.706,0.5958284,,,,,
1.708,0.6,,,,,
1.71,0.6,,,,,
1.712,0.6,,,,,
1.713,0.6,,,,,
1.715,0.6,,,,,
1.717,0.6,,,,,
1.719,0.6,,,,,
1.721,0.6034009,,,,,
1.723,0.61,,,,,
1.724,0.61,,,,,
1.726,0.6036115,,,,,
1.728,0.6,,,,,
1.73,0.6,,,,,
1.732,0.6,,,,,
1.734,0.5998317,,,,,
1.735,0.59,,,,,
1.737,0.59,,,,,
1.739,0.5929854,,,,,
1.741,0.6,,,,,
1.743,0.6,,,,,
1.745,0.6,,,,,
1.746,0.6,,,,,
1.748,0.6,,,,,
1.75,0.6,,,,,
1.752,0.6,,,,,
1.754,0.6,,,,,
1.755,0.6,,,,,
1.757,0.6,,,,,
1.759,0.6,,,,,
1.761,0.6,,,,,
1.763,0.6,,,,,
1.765,0.6,,,,,
1.766,0.6,,,,,
1.768,0.6,,,,,
1.77,0.6,,,,,
1.772,0.6,,,,,
1.774,0.6,,,,,
1.776,0.6,,,,,
1.777,0.6,,,,,
1.779,0.6,,,,,
1.781,0.6,,,,,
1.783,0.6,,,,,
1.785,0.6,,,,,
1.787,0.6,,,,,
1.788,0.6,,,,,
1.79,0.6,,,,,
1.792,0.6,,,,,
1.794,0.6,,,,,
1.796,0.6026818,,,,,
1.797,0.6138496,,,,,
1.799,0.62,,,,,
1.801,0.62,,,,,
1.803,0.62,,,,,
1.805,0.6274186,,,,,
1.807,0.63,,,,,
1.808,0.63,,,,,
1.81,0.63,,,,,
1.812,0.63,,,,,
1.814,0.63,,,,,
1.816,0.63,,,,,
